3.0.00.00.00	Despesas Correntes
3.3.94.30.99	Outros Materiais de Consumo 
3.3.94.32.00	Material, Bem ou Serviço para Distribuição Gratuita
3.3.94.32.01	Medicamentos
3.3.94.32.02	Insumos e Serviços para Saúde 
3.3.94.32.99	Outros Materiais, Bens ou Serviços para Distribuição Gratuita
3.3.94.34.00	Outras Despesas de Pessoal Decorrentes de Contratos de Terceirização 
3.3.94.39.00	Outros Serviços de Terceiros - Pessoa Jurídica 
3.3.94.39.01	 Assinaturas de Periódicos e Anuidades 
3.3.94.39.02	 Condomínios 
3.3.94.39.03	Comissões e Corretagens 
3.3.94.39.04	Direitos Autorais 
3.3.94.39.05	 Serviços Técnicos Profissionais 
3.3.94.39.06	Capatazia, Estiva e Pesagem 
3.3.94.39.07	Descontos Financeiros Concedidos 
3.3.94.39.09	Armazenagem 
3.3.94.39.10	Locação de Imóveis 
3.3.94.39.12	Locação de Máquinas e Equipamentos 
3.3.94.39.13	Locação de Bens Móveis Tangíveis ou Intangíveis, de Outras Naturezas 
3.3.94.39.14	Manutenção e Conservação de Bens Imóveis 
3.3.94.39.15	Manutenção e Conservação de Máquinas e Equipamentos 
3.3.94.39.16	 Manutenção e Conservação de Veículos 
3.3.94.39.17	Manutenção e Conservação de Bens Móveis de Outras Naturezas 
3.3.94.39.18	 Manutenção e Conservação de Estradas ou Outras Vias 
3.3.94.39.19	 Exposições, Congressos e Conferências 
3.3.94.39.20	Festividades e Homenagens 
3.3.94.39.21	 Multas Dedutíveis 
3.3.94.39.22	 Multas Indedutíveis 
3.3.94.39.23	 Juros 
3.3.94.39.24	Encargos Financeiros Dedutíveis 
3.3.94.39.25	Encargos Financeiros Indedutíveis 
3.3.94.39.26	Programa de Alimentação do Trabalhador 
3.3.94.39.27	 Fornecimento de Alimentação 
3.3.94.39.28	Serviços de Caráter Secreto ou Reservado 
3.3.94.39.29	 Serviços de Energia Elétrica 
3.3.94.39.30	Serviços de Água e Esgoto 
3.3.94.39.31	Serviços de Gás 
3.3.94.39.32	Serviços Domésticos 
3.3.94.39.33	Serviços de Comunicação em Geral 
3.3.94.39.34	Serviço de Seleção e Treinamento 
3.3.94.39.35	Produções Jornalísticas 
3.3.94.39.36	Serviço Médico-hospitalar, Odontológico e Laboratorial 
3.3.94.39.37	Serviços de Análises e Pesquisas Científicas 
3.3.94.39.38	Serviços de Reabilitação Profissional 
3.3.94.39.39	Serviços de Assistência Social 
3.3.94.39.40	Serviços de Creches e Assistência Pré-escolar 
3.3.94.39.41	 Serviços de Perícias Médicas por Benefícios 
3.3.94.39.43	Serviços de Telecomunicações 
3.3.94.39.44	Serviços de Áudio, Vídeo e Foto 
3.3.94.39.45	 Serviços de Manobra e Patrulhamento 
3.3.94.39.46	Serviços de Socorro e Salvamento 
3.3.94.39.47	Serviços de Produção Industrial 
3.3.94.39.48	 Serviços Gráficos 
3.3.94.39.49	Serviços de Apoio ao Ensino 
3.3.94.39.50	Serviços Judiciários 
3.3.94.39.51	Serviços Funerários 
3.3.94.39.52	Serviço de Conservação e Rebeneficiamento de Mercadorias 
3.3.94.39.53	Seguros em Geral 
3.3.94.39.54	Confecção de Uniformes, Bandeiras e Flâmulas 
3.3.94.39.55	Confecção de Material de Acondicionamento e Embalagem 
3.3.94.39.56	Vale-Transporte 
3.3.94.39.57	Transporte Escolar 
3.3.94.39.58	Fretes e Transportes de Encomendas 
3.3.94.39.59	Classificação de Produtos 
3.3.94.39.60	Vigilância Ostensiva 
3.3.94.39.61	 Limpeza e Conservação 
3.3.94.39.62	Serviço de Apoio Administrativo, Técnico e Operacional 
3.3.94.39.63	Hospedagens 
3.3.94.39.64	Serviços Bancários 
3.3.94.39.65	Serviços de Cópias e Reprodução de Documentos
3.3.94.39.66	Serviços em Itens Reparáveis de Aviação
3.3.94.39.67	Serviços Relacionados à Industrialização Aeroespacial 
3.3.94.39.68	Serviços de Publicidade e Propaganda 
3.3.94.39.69	Manutenção de Repartições – Serviço Exterior 
3.3.94.39.70	Aquisição de Softwares de Aplicação 
3.3.94.39.73	Locação de Veículos para Transporte de Cargas
3.3.94.39.99	 Outros Serviços de Terceiros – Pessoa Jurídica
3.3.94.40.00	Serviços de Tecnologia da Informação e Comunicação - Pessoa Jurídica
3.3.94.40.01	Locação de Equipamentos de TIC
3.3.94.40.02	Locação de Softwares
3.3.94.40.03	Desenvolvimento de Software
3.3.94.40.04	Manutenção de Software 
3.3.94.40.05	Hospedagens de Sistemas
3.3.94.40.06	Comunicação de Dados
3.3.94.40.07	Suporte a Usuários de TIC
3.3.94.40.08	Suporte de Infraestrutura de TIC
3.3.94.40.09	Serviços Técnicos Profissionais de TIC 
3.3.94.40.10	Manutenção e Conservação de Equipamentos de TIC
3.3.94.40.11	Treinamento e Capacitação em TIC
3.3.94.40.99	Outros Serviços de Tecnologia da Informação e Comunicação - Pessoa Jurídica
3.3.94.92.00	Despesas de Exercícios Anteriores 
3.3.94.99.00	A Classificar
3.3.95.00.00	Aplicação Direta à Conta de Recursos de que Tratam os §§ 1° e 2° do Art. 24 da Lei Complementar  n° 141, de 2012 
3.3.95.04.00	Contratação por Tempo Determinado
3.3.95.08.00	Outros Benefícios Assistenciais do Servidor e do Militar 
3.3.95.14.00	Diárias – Civil
3.3.95.18.00	Auxílio Financeiro a Estudantes
 3.3.95.20.00	Auxílio Financeiro a Pesquisadores
3.3.95.30.00	Material de Consumo
3.3.95.30.01	Combustíveis Automotivos 
3.3.95.30.02	Lubrificantes Automotivos
3.3.95.30.03	Combustíveis e Lubrificantes para Outras Finalidades 
3.3.95.30.04	 Gás Engarrafado 
3.3.95.30.05	Explosivos e Munições 
3.3.95.30.06	Alimentos para Animais
3.3.95.30.07	 Gêneros de Alimentação
3.3.95.30.08	 Animais para Pesquisa e Abate
3.3.95.30.09	 Medicamentos
3.3.95.30.10	 Material Odontológico
3.3.95.30.11	 Material Químico
3.3.95.30.12	 Material de Coudelaria ou de Uso Zootécnico 
3.3.95.30.13	 Material de Caça e Pesca 
3.3.95.30.14	Material Educativo e Esportivo
3.3.95.30.15	 Material para Festividades e Homenagens
3.3.95.30.16	 Material de Expediente
3.3.95.30.17	 Material de Processamento de Dados
3.3.95.30.18	 Materiais e Medicamentos para Uso Veterinário
3.3.95.30.19	 Material de Acondicionamento e Embalagem
3.3.95.30.20	Material de Cama, Mesa e Banho
3.3.95.30.21	Material de Copa e Cozinha
3.3.95.30.22	 Material de Limpeza e Produção de Higienização
3.3.95.30.23	 Uniformes, Tecidos e Aviamentos
3.3.95.30.24	 Material para Manutenção de Bens Imóveis
3.3.95.30.25	 Material para Manutenção de Bens Móveis
3.3.95.30.26	 Material Elétrico e Eletrônico
3.3.95.30.27	 Material de Manobra e Patrulhamento
3.3.95.30.28	 Material de Proteção e Segurança
3.3.95.30.29	 Material para Áudio, Vídeo e Foto
3.3.95.30.30	 Material para Comunicações
3.3.95.30.31	Sementes, Mudas de Plantas e Insumos
3.3.95.30.32	 Material Para Produção Industrial
3.3.95.30.33	 Sobressalentes, Máquinas, Motores e Embarcações
3.3.95.30.34	 Material Laboratorial
3.3.95.30.35	 Material Hospitalar
3.3.95.30.36	 Suprimento de Proteção ao Vôo
3.3.95.30.37	 Material para Manutenção de Veículos
3.3.95.30.38	 Material Biológico
3.3.95.30.39	 Material Gráfico
3.3.95.30.40	 Ferramentas
3.3.95.30.41	 Material para Reabilitação Profissional
3.3.95.30.42	 Material de Sinalização Visual e Afins
3.3.95.30.43	 Material Técnico para Seleção e Treinamento
3.3.95.30.44	 Material Bibliográfico Não Imobilizável
3.3.95.30.45	 Aquisição de Softwares de Base
3.3.95.30.46	 Bens Móveis Não Ativáveis
3.3.95.30.47	 Bandeiras, Flâmulas e Insígnias
3.3.95.30.99	Outros Materiais de Consumo 
3.3.95.31.00	Premiações Culturais, Artísticas, Científicas, Desportivas e Outras
3.3.95.32.00	Material, Bem ou Serviço para Distribuição Gratuita
3.3.95.32.01	Medicamentos
3.3.95.32.02	Insumos e Serviços para Saúde 
3.3.95.32.99	Outros Materiais, Bens ou Serviços para Distribuição Gratuita
3.3.95.33.00	Passagens e Despesas com Locomoção
3.3.95.33.01	Locação de Veículos para Locomoção de Pessoas,  exceto Transporte Escolar
3.3.95.33.99	Outras Despesas com Locomoção
3.3.95.34.00	Outras Despesas de Pessoal Decorrentes de Contrato de Terceirização
3.3.95.35.00	Serviços de Consultoria
3.3.95.36.00	Outros Serviços de Terceiros – Pessoa Física 
3.3.95.36.01	Condomínios 
3.3.95.36.02	Diárias a Colaboradores Eventuais no País
3.3.95.36.03	Diárias a Colaboradores Eventuais no Exterior
3.3.95.36.04	Comissões e Corretagens
3.3.95.36.05	Direitos Autorais
3.3.95.36.06	Serviços Técnicos
3.3.95.36.07	Estagiários
3.3.95.36.08	Bolsa de Iniciação ao Trabalho
3.3.95.36.09	Salários de Internos em Penitenciárias
3.3.95.36.10	Pró-Labore a Consultores Eventuais 
3.3.95.36.11	Capatazia, Estiva e Pesagem 
3.3.95.36.12	Conferências e Exposições 
3.3.95.36.13	Armazenagem 
3.3.95.36.14	Locação de Imóveis 
3.3.95.36.15	Locação de Bens Móveis e Intangíveis 
3.3.95.36.16	Manutenção e Conservação de Equipamentos
3.3.95.36.17	Manutenção e Conservação de Veículos 
3.3.95.36.18	Manutenção e Conservação de Bens Móveis de Outras Naturezas 
3.3.95.36.19	 Manutenção e Conservação de Bens Imóveis 
3.3.95.36.20	 Fornecimento de Alimentação 
3.3.95.36.21	Serviços de Caráter Secreto ou Reservado 
3.3.95.36.22	Serviços de Limpeza e Conservação 
3.3.95.36.23	Serviços Domésticos 
3.3.95.36.24	Serviços de Comunicação em Geral 
3.3.95.36.25	Serviço de Seleção e Treinamento 
3.3.95.36.26	Serviços Médicos e Odontológicos 
3.3.95.36.27	Serviços de Reabilitação Profissional 
3.3.95.36.28	Serviços de Assistência Social 
3.3.95.36.29	Serviços de Perícias Médicas por Benefícios 
3.3.95.36.30	Serviço de Apoio Administrativo, Técnico e Operacional 
3.3.95.36.31	Serviço de Conservação e Rebeneficiamento de Mercadorias 
3.3.95.36.32	Confecção de Material de Acondicionamento e Embalagem 
3.3.95.36.33	Confecção de Uniformes, Bandeiras e Flâmulas 
3.3.95.36.34	Fretes e Transportes de Encomendas 
3.3.95.36.35	Encargos Financeiros Dedutíveis 
3.3.95.36.36	Multas Dedutíveis 
3.3.95.36.37	Juros 
3.3.95.36.38	Encargos Financeiros Indedutíveis 
3.3.95.36.39	 Multas Indedutíveis 
3.3.95.36.40	Jetons a Conselheiros 
3.3.95.36.41	 Diárias a Conselheiros
3.3.95.36.42	Transporte Escolar
3.3.95.36.43	Serviços de Áudio, Vídeo e Foto
3.3.95.36.44	 Manutenção de Repartições Sediadas no Exterior 
3.3.95.36.45	Locação de Veículos para Transporte de Cargas
3.3.95.36.99	 Outros Serviços de Pessoa Física 
3.3.95.37.00	 Locação de Mão-de-obra
3.3.95.38.00	Arrendamento Mercantil
3.3.95.39.00	Outros Serviços de Terceiros – Pessoa Jurídica 
3.3.95.39.01	 Assinaturas de Periódicos e Anuidades 
3.3.95.39.02	 Condomínios 
3.3.95.39.03	Comissões e Corretagens 
3.3.95.39.04	Direitos Autorais 
3.3.95.39.05	 Serviços Técnicos Profissionais 
3.3.95.39.06	Capatazia, Estiva e Pesagem 
3.3.95.39.07	Descontos Financeiros Concedidos 
3.3.95.39.09	Armazenagem 
3.3.95.39.10	Locação de Imóveis 
3.3.95.39.12	Locação de Máquinas e Equipamentos 
3.3.95.39.13	Locação de Bens Móveis Tangíveis ou Intangíveis, de Outras Naturezas 
3.3.95.39.14	Manutenção e Conservação de Bens Imóveis 
3.3.95.39.15	Manutenção e Conservação de Máquinas e Equipamentos 
3.3.95.39.16	 Manutenção e Conservação de Veículos 
3.3.95.39.17	Manutenção e Conservação de Bens Móveis de Outras Naturezas 
3.3.95.39.18	 Manutenção e Conservação de Estradas ou Outras Vias 
3.3.95.39.19	 Exposições, Congressos e Conferências 
3.3.95.39.20	Festividades e Homenagens 
3.3.95.39.21	 Multas Dedutíveis 
3.3.95.39.22	 Multas Indedutíveis 
3.3.95.39.23	 Juros 
3.3.95.39.24	Encargos Financeiros Dedutíveis 
3.3.95.39.25	Encargos Financeiros Indedutíveis 
3.3.95.39.26	Programa de Alimentação do Trabalhador 
3.3.95.39.27	 Fornecimento de Alimentação 
3.3.95.39.28	Serviços de Caráter Secreto ou Reservado 
3.3.95.39.29	 Serviços de Energia Elétrica 
3.3.95.39.30	Serviços de Água e Esgoto 
3.3.95.39.31	Serviços de Gás 
3.3.95.39.32	Serviços Domésticos 
3.3.95.39.33	Serviços de Comunicação em Geral 
3.3.95.39.34	Serviço de Seleção e Treinamento 
3.3.95.39.35	Produções Jornalísticas 
3.3.95.39.36	Serviço Médico-hospitalar, Odontológico e Laboratorial 
3.3.95.39.37	Serviços de Análises e Pesquisas Científicas 
3.3.95.39.38	Serviços de Reabilitação Profissional 
3.3.95.39.39	Serviços de Assistência Social 
3.3.95.39.40	Serviços de Creches e Assistência Pré-escolar 
3.3.95.39.41	 Serviços de Perícias Médicas por Benefícios 
3.3.95.39.43	Serviços de Telecomunicações 
3.3.95.39.44	Serviços de Áudio, Vídeo e Foto 
3.3.95.39.45	 Serviços de Manobra e Patrulhamento 
3.3.95.39.46	Serviços de Socorro e Salvamento 
3.3.95.39.47	Serviços de Produção Industrial 
3.3.95.39.48	 Serviços Gráficos 
3.3.95.39.49	Serviços de Apoio ao Ensino 
3.3.95.39.50	Serviços Judiciários 
3.3.95.39.51	Serviços Funerários 
3.3.95.39.52	Serviço de Conservação e Rebeneficiamento de Mercadorias 
3.3.95.39.53	Seguros em Geral 
3.3.95.39.54	Confecção de Uniformes, Bandeiras e Flâmulas 
3.3.95.39.55	Confecção de Material de Acondicionamento e Embalagem 
3.3.95.39.56	Vale-Transporte 
3.3.95.39.57	Transporte Escolar 
3.3.95.39.58	Fretes e Transportes de Encomendas 
3.3.95.39.59	Classificação de Produtos 
3.3.95.39.60	Vigilância Ostensiva 
3.3.95.39.61	 Limpeza e Conservação 
3.3.95.39.62	Serviço de Apoio Administrativo, Técnico e Operacional 
3.3.95.39.63	Hospedagens 
3.3.95.39.64	Serviços Bancários 
3.3.95.39.65	Serviços de Cópias e Reprodução de Documentos
3.3.95.39.66	Serviços em Itens Reparáveis de Aviação
3.3.95.39.67	Serviços Relacionados à Industrialização Aeroespacial 
3.3.95.39.68	Serviços de Publicidade e Propaganda 
3.3.95.39.69	Manutenção de Repartições – Serviço Exterior 
3.3.95.39.70	Aquisição de Softwares de Aplicação 
3.3.95.39.73	Locação de Veículos para Transporte de Cargas
3.3.95.39.99	 Outros Serviços de Terceiros – Pessoa Jurídica
3.3.95.40.00	Serviços de Tecnologia da Informação e Comunicação - Pessoa Jurídica
3.3.95.40.01	Locação de Equipamentos de TIC
3.3.95.40.02	Locação de Softwares
3.3.95.40.03	Desenvolvimento de Software
3.3.95.40.04	Manutenção de Software 
3.3.95.40.05	Hospedagens de Sistemas
3.3.95.40.06	Comunicação de Dados
3.3.95.40.07	Suporte a Usuários de TIC
3.3.95.40.08	Suporte de Infraestrutura de TIC
3.3.95.40.09	Serviços Técnicos Profissionais de TIC 
3.3.95.40.10	Manutenção e Conservação de Equipamentos de TIC
3.3.95.40.11	Treinamento e Capacitação em TIC
3.3.95.40.99	Outros Serviços de Tecnologia da Informação e Comunicação - Pessoa Jurídica
3.3.95.41.00	Contribuições
3.3.95.45.00	Subvenções Econômicas
3.3.95.46.00	Auxílio-alimentação
3.3.95.47.00	Obrigações Tributárias e Contributivas
3.3.95.48.00	Outros Auxílios Financeiros a Pessoas Físicas
3.3.95.49.00	Auxílio-Transporte
3.3.95.67.00	Depósitos Compulsórios
3.3.95.91.00	Sentenças Judiciais
3.3.95.91.04	Precatórios, exceto de Pessoal e de Benefícios Previdenciários
3.3.95.91.05	Sentença Judicial para Aquisição de Medicamentos
3.3.95.91.06	Sentença Judicial para Aquisição de Outros Insumos e Serviços para Saúde
3.3.95.91.99	Outras Sentenças Judiciais e Decisões Judiciais
3.3.95.92.00	Despesas de Exercícios Anteriores
3.3.95.93.00	Indenizações e Restituições
3.3.95.96.00	Ressarcimento de Despesas de Pessoal Requisitado
3.3.95.99.00	A Classificar
3.3.96.00.00	Aplicação Direta à Conta de Recursos de que Trata o Art. 25 da Lei Complementar  n° 141, de 2012 
3.3.96.04.00	Contratação por Tempo Determinado
3.3.96.08.00	Outros Benefícios Assistenciais do Servidor e do Militar 
3.3.96.14.00	Diárias – Civil
3.3.96.18.00	Auxílio Financeiro a Estudantes
 3.3.96.20.00	Auxílio Financeiro a Pesquisadores
3.3.96.30.00	Material de Consumo
3.3.96.30.01	Combustíveis Automotivos 
3.3.96.30.02	Lubrificantes Automotivos
3.3.96.30.03	Combustíveis e Lubrificantes para Outras Finalidades 
3.3.96.30.04	 Gás Engarrafado 
3.3.96.30.05	Explosivos e Munições 
3.3.96.30.06	Alimentos para Animais
3.3.96.30.07	 Gêneros de Alimentação
3.3.96.30.08	 Animais para Pesquisa e Abate
3.3.96.30.09	 Medicamentos
3.3.96.30.10	 Material Odontológico
3.3.96.30.11	 Material Químico
3.3.96.30.12	 Material de Coudelaria ou de Uso Zootécnico 
3.3.96.30.13	 Material de Caça e Pesca 
3.3.96.30.14	Material Educativo e Esportivo
3.3.96.30.15	 Material para Festividades e Homenagens
3.3.96.30.16	 Material de Expediente
3.3.96.30.17	 Material de Processamento de Dados
3.3.96.30.18	 Materiais e Medicamentos para Uso Veterinário
3.3.96.30.19	 Material de Acondicionamento e Embalagem
3.3.96.30.20	Material de Cama, Mesa e Banho
3.3.96.30.21	Material de Copa e Cozinha
3.3.96.30.22	 Material de Limpeza e Produção de Higienização
3.3.96.30.23	 Uniformes, Tecidos e Aviamentos
3.3.96.30.24	 Material para Manutenção de Bens Imóveis
3.3.96.30.25	 Material para Manutenção de Bens Móveis
3.3.96.30.26	 Material Elétrico e Eletrônico
3.3.96.30.27	 Material de Manobra e Patrulhamento
3.3.96.30.28	 Material de Proteção e Segurança
3.3.96.30.29	 Material para Áudio, Vídeo e Foto
3.3.96.30.30	 Material para Comunicações
3.3.96.30.31	Sementes, Mudas de Plantas e Insumos
3.3.96.30.32	 Material Para Produção Industrial
3.3.96.30.33	 Sobressalentes, Máquinas, Motores e Embarcações
3.3.96.30.34	 Material Laboratorial
3.3.96.30.35	 Material Hospitalar
3.3.96.30.36	 Suprimento de Proteção ao Vôo
3.3.96.30.37	 Material para Manutenção de Veículos
3.3.96.30.38	 Material Biológico
3.3.96.30.39	 Material Gráfico
3.3.96.30.40	 Ferramentas
3.3.96.30.41	 Material para Reabilitação Profissional
3.3.96.30.42	 Material de Sinalização Visual e Afins
3.3.96.30.43	 Material Técnico para Seleção e Treinamento
3.3.96.30.44	 Material Bibliográfico Não Imobilizável
3.3.96.30.45	 Aquisição de Softwares de Base
3.3.96.30.46	 Bens Móveis Não Ativáveis
3.3.96.30.47	 Bandeiras, Flâmulas e Insígnias
3.3.96.30.99	Outros Materiais de Consumo 
3.3.96.31.00	Premiações Culturais, Artísticas, Científicas, Desportivas e Outras
3.3.96.32.00	Material, Bem ou Serviço para Distribuição Gratuita
3.3.96.32.01	Medicamentos
3.3.96.32.02	Insumos e Serviços para Saúde 
3.3.96.32.99	Outros Materiais, Bens ou Serviços para Distribuição Gratuita
3.3.96.33.00	Passagens e Despesas com Locomoção
3.3.96.33.01	Locação de Veículos para Locomoção de Pessoas,  exceto Transporte Escolar
3.3.96.33.99	Outras Despesas com Locomoção
3.3.96.34.00	Outras Despesas de Pessoal Decorrentes de Contrato de Terceirização
3.3.96.35.00	Serviços de Consultoria
3.3.96.36.00	Outros Serviços de Terceiros – Pessoa Física 
3.3.96.36.01	Condomínios 
3.3.96.36.02	Diárias a Colaboradores Eventuais no País
3.3.96.36.03	Diárias a Colaboradores Eventuais no Exterior
3.3.96.36.04	Comissões e Corretagens
3.3.96.36.05	Direitos Autorais
3.3.96.36.06	Serviços Técnicos
3.3.96.36.07	Estagiários
3.3.96.36.08	Bolsa de Iniciação ao Trabalho
3.3.96.36.09	Salários de Internos em Penitenciárias
3.3.96.36.10	Pró-Labore a Consultores Eventuais 
3.3.96.36.11	Capatazia, Estiva e Pesagem 
3.3.96.36.12	Conferências e Exposições 
3.3.96.36.13	Armazenagem 
3.3.96.36.14	Locação de Imóveis 
3.3.96.36.15	Locação de Bens Móveis e Intangíveis 
3.3.96.36.16	Manutenção e Conservação de Equipamentos
3.3.96.36.17	Manutenção e Conservação de Veículos 
3.3.96.36.18	Manutenção e Conservação de Bens Móveis de Outras Naturezas 
3.3.96.36.19	 Manutenção e Conservação de Bens Imóveis 
3.3.96.36.20	 Fornecimento de Alimentação 
3.3.96.36.21	Serviços de Caráter Secreto ou Reservado 
3.3.96.36.22	Serviços de Limpeza e Conservação 
3.3.96.36.23	Serviços Domésticos 
3.3.96.36.24	Serviços de Comunicação em Geral 
3.3.96.36.25	Serviço de Seleção e Treinamento 
3.3.96.36.26	Serviços Médicos e Odontológicos 
3.3.96.36.27	Serviços de Reabilitação Profissional 
3.3.96.36.28	Serviços de Assistência Social 
3.3.96.36.29	Serviços de Perícias Médicas por Benefícios 
3.3.96.36.30	Serviço de Apoio Administrativo, Técnico e Operacional 
3.3.96.36.31	Serviço de Conservação e Rebeneficiamento de Mercadorias 
3.3.96.36.32	Confecção de Material de Acondicionamento e Embalagem 
3.3.96.36.33	Confecção de Uniformes, Bandeiras e Flâmulas 
3.3.96.36.34	Fretes e Transportes de Encomendas 
3.3.96.36.35	Encargos Financeiros Dedutíveis 
3.3.96.36.36	 Multas Dedutíveis 
3.3.96.36.37	 Juros 
3.3.96.36.38	Encargos Financeiros Indedutíveis 
3.3.96.36.39	 Multas Indedutíveis 
3.3.96.36.40	Jetons a Conselheiros 
3.3.96.36.41	 Diárias a Conselheiros
3.3.96.36.42	Transporte Escolar
3.3.96.36.43	Serviços de Áudio, Vídeo e Foto
3.3.96.36.44	 Manutenção de Repartições Sediadas no Exterior 
3.3.96.36.45	Locação de Veículos para Transporte de Cargas
3.3.96.36.99	 Outros Serviços de Pessoa Física 
3.3.96.37.00	 Locação de Mão-de-obra
3.3.96.38.00	Arrendamento Mercantil
3.3.96.39.00	Outros Serviços de Terceiros – Pessoa Jurídica 
3.3.96.39.01	 Assinaturas de Periódicos e Anuidades 
3.3.96.39.02	 Condomínios 
3.3.96.39.03	Comissões e Corretagens 
3.3.96.39.04	Direitos Autorais 
3.3.96.39.05	 Serviços Técnicos Profissionais 
3.3.96.39.06	Capatazia, Estiva e Pesagem 
3.3.96.39.07	Descontos Financeiros Concedidos 
3.3.96.39.09	Armazenagem 
3.3.96.39.10	Locação de Imóveis 
3.3.96.39.12	Locação de Máquinas e Equipamentos 
3.3.96.39.13	Locação de Bens Móveis Tangíveis ou Intangíveis, de Outras Naturezas 
3.3.96.39.14	Manutenção e Conservação de Bens Imóveis 
3.3.96.39.15	Manutenção e Conservação de Máquinas e Equipamentos 
3.3.96.39.16	 Manutenção e Conservação de Veículos 
3.3.96.39.17	Manutenção e Conservação de Bens Móveis de Outras Naturezas 
3.3.96.39.18	 Manutenção e Conservação de Estradas ou Outras Vias 
3.3.96.39.19	 Exposições, Congressos e Conferências 
3.3.96.39.20	Festividades e Homenagens 
3.3.96.39.21	 Multas Dedutíveis 
3.3.96.39.22	 Multas Indedutíveis 
3.3.96.39.23	 Juros 
3.3.96.39.24	Encargos Financeiros Dedutíveis 
3.3.96.39.25	Encargos Financeiros Indedutíveis 
3.3.96.39.26	Programa de Alimentação do Trabalhador 
3.3.96.39.27	 Fornecimento de Alimentação 
3.3.96.39.28	Serviços de Caráter Secreto ou Reservado 
3.3.96.39.29	 Serviços de Energia Elétrica 
3.3.96.39.30	Serviços de Água e Esgoto 
3.3.96.39.31	Serviços de Gás 
3.3.96.39.32	Serviços Domésticos 
3.3.96.39.33	Serviços de Comunicação em Geral 
3.3.96.39.34	Serviço de Seleção e Treinamento 
3.3.96.39.35	Produções Jornalísticas 
3.3.96.39.36	Serviço Médico-hospitalar, Odontológico e Laboratorial 
3.3.96.39.37	Serviços de Análises e Pesquisas Científicas 
3.3.96.39.38	Serviços de Reabilitação Profissional 
3.3.96.39.39	Serviços de Assistência Social 
3.3.96.39.40	Serviços de Creches e Assistência Pré-escolar 
3.3.96.39.41	 Serviços de Perícias Médicas por Benefícios 
3.3.96.39.43	Serviços de Telecomunicações 
3.3.96.39.44	Serviços de Áudio, Vídeo e Foto 
3.3.96.39.45	 Serviços de Manobra e Patrulhamento 
3.3.96.39.46	Serviços de Socorro e Salvamento 
3.3.96.39.47	Serviços de Produção Industrial 
3.3.96.39.48	 Serviços Gráficos 
3.3.96.39.49	Serviços de Apoio ao Ensino 
3.3.96.39.50	Serviços Judiciários 
3.3.96.39.51	Serviços Funerários 
3.3.96.39.52	Serviço de Conservação e Rebeneficiamento de Mercadorias 
3.3.96.39.53	Seguros em Geral 
3.3.96.39.54	Confecção de Uniformes, Bandeiras e Flâmulas 
3.3.96.39.55	Confecção de Material de Acondicionamento e Embalagem 
3.3.96.39.56	Vale-Transporte 
3.3.96.39.57	Transporte Escolar 
3.3.96.39.58	Fretes e Transportes de Encomendas 
3.3.96.39.59	Classificação de Produtos 
3.3.96.39.60	Vigilância Ostensiva 
3.3.96.39.61	 Limpeza e Conservação 
3.3.96.39.62	Serviço de Apoio Administrativo, Técnico e Operacional 
3.3.96.39.63	Hospedagens 
3.3.96.39.64	Serviços Bancários 
3.3.96.39.65	Serviços de Cópias e Reprodução de Documentos
3.3.96.39.66	Serviços em Itens Reparáveis de Aviação
3.3.96.39.67	Serviços Relacionados à Industrialização Aeroespacial 
3.3.96.39.68	Serviços de Publicidade e Propaganda 
3.3.96.39.69	Manutenção de Repartições – Serviço Exterior 
3.3.96.39.70	Aquisição de Softwares de Aplicação 
3.3.96.39.73	Locação de Veículos para Transporte de Cargas
3.3.96.39.99	Outros Serviços de Terceiros – Pessoa Jurídica
3.3.96.40.00	Serviços de Tecnologia da Informação e Comunicação - Pessoa Jurídica
3.3.96.40.01	Locação de Equipamentos de TIC
3.3.96.40.02	Locação de Softwares
3.3.96.40.03	Desenvolvimento de Software
3.3.96.40.04	Manutenção de Software 
3.3.96.40.05	Hospedagens de Sistemas
3.3.96.40.06	Comunicação de Dados
3.3.96.40.07	Suporte a Usuários de TIC
3.3.96.40.08	Suporte de Infraestrutura de TIC
3.3.96.40.09	Serviços Técnicos Profissionais de TIC 
3.3.96.40.10	Manutenção e Conservação de Equipamentos de TIC
3.3.96.40.11	Treinamento e Capacitação em TIC
3.3.96.40.99	Outros Serviços de Tecnologia da Informação e Comunicação - Pessoa Jurídica
3.3.96.41.00	Contribuições
3.3.96.45.00	Subvenções Econômicas
3.3.96.46.00	Auxílio-alimentação
3.3.96.47.00	Obrigações Tributárias e Contributivas
3.3.96.48.00	Outros Auxílios Financeiros a Pessoas Físicas
3.3.96.49.00	Auxílio-Transporte
3.3.96.67.00	Depósitos Compulsórios
3.3.96.91.00	Sentenças Judiciais
3.3.96.91.04	Precatórios, exceto de Pessoal e de Benefícios Previdenciários
3.3.96.91.05	Sentença Judicial para Aquisição de Medicamentos
3.3.96.91.06	Sentença Judicial para Aquisição de Outros Insumos e Serviços para Saúde
3.3.96.91.99	Outras Sentenças Judiciais e Decisões Judiciais
3.3.96.92.00	Despesas de Exercícios Anteriores
3.3.96.93.00	Indenizações e Restituições
3.3.96.96.00	Ressarcimento de Despesas de Pessoal Requisitado
3.3.96.99.00	A Classificar
3.3.99.00.00	A Definir
3.3.99.99.00	A Classificar
4.0.00.00.00	Despesas de Capital
4.4.00.00.00	Investimentos
